[33msteamclient:[0m connecting to 155.133.242.8:27018
[33msteamclient:[0m connected
[33msteamclient:[0m encrypt request
[33msteamclient:[0m handshake complete
[ 20:55:17 ] Начинаем раунд №49
[ 21:00:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:47 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:47 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:48 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:48 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:49 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:49 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:50 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:50 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:51 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:51 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:52 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:52 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:53 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:53 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:54 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:54 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:55 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:55 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:56 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:56 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:57 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:57 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:58 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:58 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:59 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:00:59 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:00 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:00 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:01 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:01 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:02 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:02 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:03 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:03 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:04 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:04 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:05 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:05 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:06 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:06 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:07 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:07 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:08 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:08 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:09 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:09 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:10 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:10 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:11 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:11 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:12 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:12 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:13 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:13 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:14 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:14 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:15 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:15 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:16 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:16 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:17 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:17 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:18 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:18 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:19 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:19 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:20 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:20 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:21 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:21 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:22 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:22 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:23 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:23 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:24 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:24 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:25 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:25 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:26 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:26 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:27 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:27 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:28 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:28 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:29 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:29 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:30 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:30 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:31 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:31 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:32 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:32 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:33 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:33 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:34 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:34 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:35 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:35 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:36 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:36 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:37 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:37 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:38 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:38 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:39 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:39 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:47 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:47 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:48 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:48 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:49 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:49 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:50 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:50 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:51 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:51 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:52 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:52 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:53 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:53 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:54 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:54 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:55 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:55 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:56 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:56 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:57 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:57 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:58 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:58 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:59 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:01:59 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:00 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:00 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:01 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:01 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:02 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:02 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:03 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:03 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:04 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:04 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:05 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:05 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:06 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:06 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:07 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:07 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:08 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:08 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:09 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:09 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:10 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:10 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:11 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:11 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:12 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:12 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:13 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:13 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:14 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:14 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:15 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:15 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:16 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:16 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:17 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:17 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:18 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:18 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:19 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:19 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:20 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:20 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:21 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:21 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:22 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:22 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:23 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:23 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:24 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:24 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:25 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:25 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:26 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:26 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:27 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:27 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:28 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:28 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:29 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:29 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:30 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:30 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:31 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:31 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:32 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:32 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:33 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:33 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:34 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:34 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:35 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:35 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:36 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:36 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:37 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:37 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:38 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:38 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:39 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:39 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:47 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:47 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:48 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:48 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:49 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:49 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:50 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:50 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:51 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:51 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:52 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:52 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:53 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:53 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:54 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:54 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:55 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:55 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:56 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:56 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:57 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:57 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:58 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:58 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:59 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:02:59 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:00 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:00 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:01 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:01 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:02 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:02 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:03 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:03 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:04 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:04 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:05 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:05 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:06 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:06 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:07 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:07 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:08 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:08 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:09 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:09 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:10 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:10 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:11 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:11 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:12 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:12 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:13 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:13 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:14 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:14 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:15 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:15 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:16 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:16 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:17 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:17 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:18 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:18 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:19 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:19 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:20 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:20 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:21 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:21 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:22 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:22 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:23 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:23 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:24 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:24 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:25 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:25 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:26 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:26 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:27 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:27 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:28 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:28 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:29 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:29 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:30 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:30 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:31 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:31 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:32 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:32 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:33 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:33 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:34 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:34 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:35 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:35 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:36 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:36 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:37 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:37 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:38 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:38 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:39 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:39 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:47 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:47 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:48 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:48 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:49 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:49 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:50 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:50 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:51 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:51 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:52 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:52 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:53 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:53 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:54 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:54 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:55 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:55 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:56 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:57 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:57 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:58 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:58 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:59 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:03:59 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:00 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:00 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:01 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:01 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:02 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:02 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:03 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:03 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:04 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:04 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:05 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:05 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:06 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:06 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:07 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:07 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:08 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:08 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:09 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:09 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:10 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:10 ] Проверка ставки: 784062491 (76561198200506802)
[ 21:04:11 ] Проверка ставки: 784062491 (76561198200506802)
